Id,PostId,Score,Text,CreationDate,UserDisplayName,UserId
"38814080","24964538","0","In that PHP file, I am getting several database results, some in arrays, some in strings, which I need to show in 3 different tpl files. I will try with the `$smarty->display` and update.","2014-07-26 10:45:07","","2005071"
"38814081","24926353","0","there are always some ways to do things. but it depends on the use case, if you just need to hit a method with some params, then in that case it won't be a really good option.","2014-07-26 10:45:10","","3787750"
"38814083","24969752","0","@RohitVats ,I use the datagrid for data entry when the user enter first row ,I want to provide an new row for the user to enter new item","2014-07-26 10:45:17","","3008788"
"38814084","24969862","0","@FrederickCheung: It's just too simple :D Thanks for your help. Maybe you want to add an answer, so that I can check this question as answered.","2014-07-26 10:45:18","","3493998"
"38814085","24970073","0","Doh, how did I miss that? Much appreciated, I was starting to think I was going crazy.","2014-07-26 10:45:19","","3839120"
"38814086","24969932","0","I changed I'm trying","2014-07-26 10:45:19","","3794651"
"38814087","24957753","0","@frank Thank you. Well, I put it. (name is SHADERS). Now what to do ?","2014-07-26 10:45:30","","1614697"
"38814090","24967270","0","These are interesting questions. But not really about programming.","2014-07-26 10:45:52","","545127"
"38814091","24969635","0","@a_horse_with_no_name next time i'll","2014-07-26 10:46:00","user3814846",""
"38814092","24970167","0","The user types numbers and I only want the button to be enabled if all three textboxes contain numbers","2014-07-26 10:46:02","","3872762"
"38814093","24831034","0","could you please show code for cropping image?","2014-07-26 10:46:05","","2122991"
"38814095","24968975","0","@laune: Which kinda puts the lie to my *""In fact, your assignment in the loop you've shown isn't overwriting the previous value at all.""* :-) (In purely pragmatic terms.)","2014-07-26 10:46:29","","157247"
"38814096","24970115","0","I have used this SlidingMenu library in one of my apps since I needed backward compatibility. This library is not outdated and works pretty well. You can see many apps using this library, like LinkedIn for example.","2014-07-26 10:46:30","","1708743"
"38814097","24970131","0","I need to get only 16 bytes, and display it as string via console. I don't know","2014-07-26 10:46:33","","2475484"
"38814098","24960941","0","Thanks the images seem a little stretched. I found the following code which worked fine. you were on the right lines thanks.android:adjustViewBounds=""true""
        android:scaleType=""fitCenter""","2014-07-26 10:46:35","","532462"
"38814099","24969969","0","you were getting typecast error.. see my edited answer","2014-07-26 10:46:38","","3535925"
"38814100","24932294","0","It will be harder than I initially thought, it seems, and I don't have a complete answer yet. Still, you helped me a lot with this and deserve your bounty. Thanks and congratulations :)","2014-07-26 10:46:52","","2904025"
"38814102","24969213","0","but on the other hand i tried to find wich code defines where these graph names are placed?? i tried the layout part but i couldn't find , i want to change the stacked modes name s to appear vertically by the left side , this the code defining the name :  display.DataSources[j].Name = ""Graph "" + (j + 1); line567 column66 character66","2014-07-26 10:46:53","","3836391"
"38814103","24970177","0","Try `split` - I am sure you can look that up","2014-07-26 10:46:58","","892256"
"38814105","24969828","0","Thanks for the answer, Can you please share a pseudocode for multiplication operation ?","2014-07-26 10:47:03","","3741831"
"38814107","24969888","0","writeFile.createNewFile();  impossible to find a path...","2014-07-26 10:47:06","","3832184"
"38814108","24969890","0","no..i just want to style name adres and phone","2014-07-26 10:47:08","","2119788"
"38814109","24970070","0","@user3777110 look edited answer in the query","2014-07-26 10:47:12","","998158"
"38814110","24969793","0","oh..I am doing wrong. I do like this.Then, it is okay.          var vc = alertVC(nibName: ""alertVC"", bundle: nil)
        vc.setUpData(Helper.Stored.alertViewWithPlacehlder)
        self.view.addSubview(vc.view).","2014-07-26 10:47:13","","1550974"
"38814111","24970167","0","You should look at the Validating event of the 3 textboxes","2014-07-26 10:47:15","","1197518"
"38814113","24926544","0","But you can't directly call super because `UINavigationController` doesn't publicly conform to `UINavigationBarDelegate`, resulting in a compiler error! There might be a solution using `UINavigationControllerDelegate`.","2014-07-26 10:47:25","","870671"
"38814114","24969858","0","Thank you for your answer.It solved my problem.","2014-07-26 10:47:31","","3370495"
"38814115","24947581","1","First Normal Form is the first in a whole series of normal forms that were discovered in the course of developing the relational model.  It was the first one discovered, but it's called first because it's the least restrictive.  If you learn data normalization, you will learn several normal forms.  You will also learn ways of producing a design that might be better than many other designs.","2014-07-26 10:47:34","","19937"
"38814116","10243664","0","thanks, works with 64bit OS too !","2014-07-26 10:47:34","","1084501"
"38814117","14993590","0","The above is exactly I use for my code. If mBluetoothAdapter.getProfileProxy returns false all the time then I have no idea. Try it on another device and see if it works","2014-07-26 10:47:34","","747873"
"38814119","24967270","0","In effect, you are asking whether a programmer should use a particular off-site resource (Maven Central).","2014-07-26 10:47:42","","545127"
"38814120","24970131","0","Well you need to find that out. Are those 16 bytes *actually* text, or do you need to convert them into hex? Is the 4-byte sequence you're looking for definitely on a 4-byte boundary?","2014-07-26 10:47:45","","22656"
"38814121","24970187","0","Show the CSS that you're trying to implement.","2014-07-26 10:47:47","","1165646"
"38814125","24970171","0","the above code must throw ArrayOutOfIndexException","2014-07-26 10:48:03","","2660367"
"38814126","24969793","0","In my alertVC, I need to write this also.     init(nibName nibNameOrNil: String!, bundle nibBundleOrNil: NSBundle!)
    {
        super.init(nibName: nibNameOrNil, bundle: nibBundleOrNil)
    }","2014-07-26 10:48:06","","1550974"
"38814127","24970084","0","I dont get any errors as well.Is the above CSS style correct?.","2014-07-26 10:48:13","","1696364"
"38814130","24016358","0","Thanks  @FlavienVolken","2014-07-26 10:48:31","","1483534"
"38814131","24959037","0","[This forum post](https://www.everymanhosting.com/forum/viewtopic.php?p=42) might be at least a good start.","2014-07-26 10:48:32","","3438854"
"38814132","24969793","0","edited answer:Put the alertVC(it should be subclassed of view) in xib as class and  self.view.addSubview(vc).Look for edited answer","2014-07-26 10:48:32","","1881472"
"38814134","12568154","0","@Sukima no idea, http://3v4l.org/8fG9E","2014-07-26 10:48:39","","599857"
"38814135","24969036","0","As you can't get the managed object context this shouldn't be a fault issue. You should log the user object and the contents of results directly. How are you making the request and calling did finish method?","2014-07-26 10:48:46","","1988185"
"38814136","24969888","0","read the note that i mentioned.","2014-07-26 10:48:50","","3218114"
"38814137","24970003","0","But all these examples only show a single Navigation Drawer. I want a navigation drawer on the left and a slideout menu on the right like Google+ and Facebook, yet the docs seem to only indicate that you can have one navigation drawer, so I assume the slideout menu is something different.","2014-07-26 10:48:51","","753632"
"38814138","24970171","0","Example : http://www.ezzylearning.com/tutorial.aspx?tid=1659127","2014-07-26 10:48:53","","3791923"
"38814139","24969932","0","@MacSTD Ok,also try to clean your project.","2014-07-26 10:49:03","","991085"
"38814141","24970099","1","this is very helpful info. But i'm not sure how it's related to my 2 questions","2014-07-26 10:49:05","","1065869"
"38814142","24969330","0","At the moment I have already given up on manipulation and am coding itextsharp API to do the job for me, but I am still wondering if it would be possible to make program push down the buttons without user interference. Thanks for your opinion anyway!","2014-07-26 10:49:07","","3831699"
"38814143","24969860","0","Need to pass the column name where we have to search the string.","2014-07-26 10:49:07","","3598780"
"38814145","20477943","0","@TravisGriggs I modified #1 to prevent deadlocks when doing this from the main queue, by specifying the `completionQueue` property (which I added in a [pull request](https://github.com/AFNetworking/AFNetworking/pull/2092) a few months ago).","2014-07-26 10:49:19","","1271826"
"38814146","24967817","0","@BrandonBatton i too using the same till now no anti-virus made any problem btw where your `shell32.dll` located in my case `C:\WINDOWS\system32\shell32.dll`","2014-07-26 10:49:31","","3682599"
"38814147","24970187","0","#c1, #b2{
  display: none;
}

.pics .1half:hover #c2{
display : none;
}

.pics .1half:hover #b2{
display : block;
}

The code looks silly to me","2014-07-26 10:49:34","","3860208"
"38814149","24912249","0","Awesome, thanks so much.  This is exactly what I needed to know.","2014-07-26 10:49:51","","3868872"
"38814150","24909926","0","You should use Charles proxy to see what is sent and compare to what you want to be sent. Without knowing what the server expects you can't say what might be wrong with the mappings.","2014-07-26 10:49:57","","1988185"
"38814151","24970107","0","Have you tried to use ""-gnat12"" instead of ""-gnatg""?","2014-07-26 10:50:01","","1568010"
"38814152","24970039","0","have to check the type of the instance of the object, and then cast it to the class you want to retrieve data.
Then you can access myobject.name","2014-07-26 10:50:01","","2538473"
"38814153","24969676","1","Try disabling warning for this variable using a `pragma`: `pragma Warnings (Off, Some_Task_Ref) ;`","2014-07-26 10:50:03","","2666289"
"38814154","24970092","0","In my sql table the data type for date is `Date` should I also change there?","2014-07-26 10:50:11","","2017483"
"38814157","24969747","0","@SimonBlanck - I just created this in my codeigniter installation, (I did not use a model because I do not know how your model works), but when i do print_r(init_data()) - I get `Array ( [crew_pizza_book] => a [lanare] => b[kiosk_rec] => c) `","2014-07-26 10:50:21","","1558322"
"38814158","24946789","0","Well then it would be just `.domain([0, semaine[i].disponibilite])`, where `i` denotes the current chart.","2014-07-26 10:50:24","","1172002"
"38814160","24967979","0","@CostantineIvankin I jus put an answer","2014-07-26 10:50:29","","2456721"
"38814161","24969505","2","@anubhava You are damn right!","2014-07-26 10:50:34","","2706988"
"38814162","24969860","0","You need to use a dynamic query for that. BTW, that's altogether a separate question and as such should be posted separately with all relevant information.","2014-07-26 10:50:35","","567435"
"38814163","24970184","0","How would it know from only the file extension?","2014-07-26 10:50:38","","1048572"
"38814164","24970039","0","SimpleAdapter's getItem returns `Object` type. So the answer to your question `how to access foo` is that you can't. You can only access Object class members with it. I believe, you are doing something inherently wrong here. You should probably see this post: http://stackoverflow.com/questions/3273834/trying-to-get-value-out-of-text-view-in-list-view-click-event-in-android
basically, you need to traverse through your button to the parent and then lookup the TextView by Id and then get its text","2014-07-26 10:50:39","","2028640"
"38814165","24968773","0","@VIRUS: Check this [sample](http://jsfiddle.net/5w7Hr/4/). It has the double colored border like you want, needs no separate element for the vertical separator, can support width of 25% and works while zooming also.","2014-07-26 10:50:44","","2606013"
"38814166","19435552","0","In my case trying to write more then 20 bytes to a CBCharacteristics caused the Unknown error. I have thoroughly checked by specifically sending the bytes and anything beyond 20 bytes generates the error. So a simple suggestion is try sending 20 bytes of data at a time","2014-07-26 10:50:52","","2437015"
"38814167","24955917","0","I have now posted the updated code. Disappearing means that initially the String showed up for a couple of seconds on screen and then the textView would have no text at all.","2014-07-26 10:50:58","","3333384"
"38814168","24970099","0","I want to tell you that
you have given android:layout_height=""360dp""
is not good practices for layout desiges.","2014-07-26 10:51:00","","1632209"
"38814169","24969862","0","@Зелёный: I don't know how to answer it.. Sorry, but maybe this will help you: http://www.codeproject.com/Articles/575551/User-Authentication-in-Ruby-on-Rails#Sessions46","2014-07-26 10:51:03","","3493998"
"38814170","24967359","0","I am working on it query fails it is not returning any results. Sure I will accept your answer once it is working I will edit it for others reference.","2014-07-26 10:51:11","","449355"
"38814171","24969752","0","When you select last row and commit the row (by pressing enter on editable cell of any row), you automatically get new row. You don't need to add it manually.","2014-07-26 10:51:15","","632337"
"38814172","24969747","0","@SimonBlanck - also `init_data` cannot be `undefined variable`, like you mentioned in the comment. It has to be a function...","2014-07-26 10:51:19","","1558322"
"38814173","24969867","0","can you help me how to use out parameter in function and calling it from C# code","2014-07-26 10:51:27","","870561"
"38814174","24962509","0","`db_last_insert_id()` was removed in Drupal 7, and this question refers only to Drupal 7. I can't imagine why this has been accepted, it's completely wrong.","2014-07-26 10:51:29","","830680"
"38814176","24970084","0","Its perfect fiddler for you: http://jsfiddle.net/qjz2c/","2014-07-26 10:51:38","","2081982"
"38814177","24970120","0","Add the code for loginPanel loginPanelA","2014-07-26 10:51:58","","449946"
"38814178","24970214","2","`blahzix = tentry.th32OwnerProcessID` doesn't convert the pid to a string - it just writes the pid to a local variable, leaving `blahzix` pointing to an address that equals the pid.","2014-07-26 10:52:05","","311966"
"38814179","24938182","0","@Sashka, sorry for the excessive comments, I will clean them up once we figure this out, but I wanted to let you know that I've added another solution that references a different StackOverflow post that might apply here. See if that helps.","2014-07-26 10:52:08","","3280533"
"38814181","24969430","0","great great great... All goes good.. I removed NSTimer...","2014-07-26 10:52:13","","1066828"
"38814183","24970141","1","No, you shouldn't.","2014-07-26 10:52:17","","848164"
"38814184","24970141","0","No, you shouldn't use it if you don't need it.","2014-07-26 10:52:24","","663031"
"38814185","24970205","0","Yeah, as I wrote in the next sentence after the one you quoted I know how to do that. That's not the problem.","2014-07-26 10:52:27","","3212350"
"38814186","24935471","0","@MichaëlAzevedo, you are right about kPFErrorUsernameTaken. And making an query is the only way to do this?","2014-07-26 10:52:28","","1523425"
"38814187","23124855","0","I solved with removing Oracle Java 8 and then: sudo aptitude install openjdk-7-jdk","2014-07-26 10:52:35","","108742"
"38814188","24969505","2","+1 for good update :)","2014-07-26 10:52:40","","548225"
"38814190","24892276","0","This is just partial solution, it works, but I need to know when external program stops running and than continue the matlab script. Main question remains. Why running of external program influences execution of function, where instrument 2 is operated and not influences function where instrument 1 is operated.","2014-07-26 10:52:55","","3105535"
"38814192","24953011","0","There shouldn't be. Is it always the same type of object? What patterns do you notice? What mappings are associated? Do all mappings for the same entity have the same identification attributes?","2014-07-26 10:52:57","","1988185"
"38814193","24970099","0","Try to follow all the rules as given in link and you will solve your all the issues.","2014-07-26 10:53:01","","1632209"
"38814194","24969652","0","The method xmppRosterDidEndPopulating only works in the AppDelegate, I don't know how to make it work in the ViewController, if it's what you mean by ""make the ViewController that's performing the segue the delegate of xmppRoster""","2014-07-26 10:53:06","","3878774"
"38814195","24966966","0","[This example](http://bl.ocks.org/mbostock/3884955) should help.","2014-07-26 10:53:08","","1172002"
"38814196","18383746","0","@cdhowie, please correct all your claims of <br></br> being fine and only confusing old parsers. It is simply not allowed to have closing tags for a selvclosing tag. <br> and <br /> are the only valid ones.","2014-07-26 10:53:18","","352734"
"38814197","24911830","0","This is great! Thanks. I ended up getting it working but this is a better method.","2014-07-26 10:53:19","","1874415"
"38814200","24968444","0","i fixed that by using (""adminID"") yet isnt deleting","2014-07-26 10:53:29","","3879052"
"38814202","156868","0","Your first sentence just isn't true.  When using `ExpectedException`, the normal thing to do is to set the expectation immediately before the line that you expect to throw the exception.  That way, if an earlier line throws the exception, it won't trigger the rule, and the test will fail.","2014-07-26 10:53:36","","1081110"
"38814203","24942333","0","@ExcelNoobie25. user3879000 makes some excellent points. My routine generates every possible permutation in a sequence that is convenient for the algorithm. At the end of my first section, I discuss discarding unwanted permutations but my code does not use any of these techniques. My code does not allow for the same player being available for multiple positions. I know little of American football but there are a number of changes I could make that would eliminate some, perhaps all, of the problems mentioned. Would this be helpful or have I given you enough to think about?","2014-07-26 10:53:43","","973283"
"38814205","24970199","0","I have moved the if statement from the button each of the textbox's text changed events but still not working","2014-07-26 10:54:01","","3872762"
"38814207","24958789","0","sorry carloseJimenez, yesterday my internet connection was lost due to electricity. by the way i read tutorial you told me yesterday. i had made changes. it works buts it doesn't returns exact location. and it returns a changed value each time i click button to retreive latitude and longitude","2014-07-26 10:54:02","","3492813"
"38814209","24969134","1","Could this post be of help? http://stackoverflow.com/questions/1014822/how-to-know-which-window-has-focus-and-how-to-change-it","2014-07-26 10:54:22","","2967091"
"38814211","24945944","0","You're welcome. To be honest, I don't think the runtime complexity can be reduced, because the task inherently requires looking at the remainder of the list for every element in the list. The lines marked with `###` already serve to avoid duplicate work, but the order of complexity remains quadratic. (**Edit**) You might be able to optimize this by first generating a list with the positions of all 1 digits. However, the code would become more complicated.","2014-07-26 10:54:24","","1166087"
"38814212","24961092","0","Could you paste `df.head()` into your question?","2014-07-26 10:54:28","","1082349"